outcome,backers,category_name,country_name,count(*)
failed,5,Design,US,21
failed,5,Fashion,CA,1
failed,5,Fashion,DE,1
failed,5,Fashion,GB,5
failed,5,Fashion,NL,1
failed,5,Fashion,US,10
failed,5,"Film & Video",CA,2
failed,5,"Film & Video",FR,1
failed,5,"Film & Video",GB,1
failed,5,"Film & Video",NL,2
failed,5,"Film & Video",NZ,1
failed,5,"Film & Video",SE,1
failed,5,"Film & Video",US,48
failed,5,Food,CA,1
failed,5,Food,GB,3
failed,5,Food,US,22
failed,5,Games,AU,1
failed,5,Games,CA,1
failed,5,Games,DK,1
failed,5,Games,GB,4
failed,5,Games,IT,1
failed,5,Games,US,15
failed,5,Journalism,ES,1
failed,5,Journalism,GB,1
failed,5,Journalism,US,2
failed,5,Music,CA,2
failed,5,Music,GB,2
failed,5,Music,SE,1
failed,5,Music,US,35
failed,5,Photography,CA,1
failed,5,Photography,GB,2
failed,5,Photography,MX,1
failed,5,Photography,US,4
failed,5,Publishing,CA,3
failed,5,Publishing,GB,1
failed,5,Publishing,IT,1
failed,5,Publishing,US,16
failed,5,Technology,AU,1
failed,5,Technology,CA,2
failed,5,Technology,DE,1
failed,5,Technology,ES,1
failed,5,Technology,GB,2
failed,5,Technology,IT,1
failed,5,Technology,SE,1
failed,5,Technology,US,22
failed,5,Theater,SE,1
failed,5,Theater,US,3
live,5,Crafts,US,1
live,5,Food,US,1
live,5,Technology,AU,1
live,5,Technology,US,1
successful,5,Art,US,3
successful,5,Design,US,1
successful,5,Fashion,US,2
successful,5,"Film & Video",GB,1
successful,5,"Film & Video",US,4
successful,5,Food,US,3
successful,5,Journalism,US,1
successful,5,Music,US,2
successful,5,Photography,US,1
successful,5,Publishing,AU,1
successful,5,Publishing,US,1
successful,5,Technology,US,1
successful,5,Theater,US,1
suspended,5,Design,US,1
canceled,6,Art,AU,1
canceled,6,Art,DE,1
canceled,6,Art,US,3
canceled,6,Crafts,US,1
canceled,6,Design,US,1
canceled,6,Fashion,US,1
canceled,6,"Film & Video",US,3
canceled,6,Food,US,1
canceled,6,Games,AU,1
canceled,6,Games,FR,1
canceled,6,Games,US,5
canceled,6,Music,NL,1
canceled,6,Music,US,2
canceled,6,Photography,US,1
canceled,6,Publishing,AU,1
canceled,6,Publishing,US,1
canceled,6,Technology,AU,1
canceled,6,Technology,CA,2
canceled,6,Technology,GB,1
canceled,6,Technology,IE,1
canceled,6,Technology,SE,1
canceled,6,Technology,US,2
